Energy outputs   (0.096 MeV RMS for JP fit): 
       exp      error        BAB         JP       Diff 
    2.4000    -0.0500  -176.2632  -176.2631    -0.0001
 -182.5990     0.2600  -182.6056  -182.6055    -0.0001
Parameter outputs (0.235 MeV RMS for 35 VLC fit): 
       BAB         JP       Diff 
  -14.8441   -14.8442    -0.0001
  -14.1266   -14.1266     0.0000
  -13.3292   -13.3292    -0.0000
   -9.6414    -9.6414     0.0000
   -0.2067    -0.2067     0.0000
   -0.8678    -0.8678     0.0000
   -0.7318    -0.7318    -0.0000
    2.4351     2.4351     0.0000
    0.1145     0.1145    -0.0000
   -1.0376    -1.0376    -0.0000
    1.0034     1.0034    -0.0000
    0.5429     0.5430     0.0001
    0.7589     0.7589     0.0000
   -0.5492    -0.5492     0.0000
    0.8296     0.8296    -0.0000
    0.1021     0.1020    -0.0001
    0.6828     0.6828    -0.0000
    0.4007     0.4007     0.0000
   -0.2650    -0.2650    -0.0000
   -0.3456    -0.3456     0.0000
   -0.2631    -0.2630     0.0001
   -0.4604    -0.4604    -0.0000
    0.5412     0.5412    -0.0000
    1.0486     1.0486     0.0000
    0.2069     0.2069    -0.0000
    0.2535     0.2535     0.0000
    0.5297     0.5297    -0.0000
   -0.6338    -0.6338     0.0000
    0.2174     0.2174    -0.0000
    0.0948     0.0949     0.0001
   -0.4860    -0.4860    -0.0000
    0.6922     0.6921    -0.0001
    0.0519     0.0519    -0.0000
    0.2641     0.2640    -0.0001
   -0.6149    -0.6149     0.0000
    0.6450     0.6450     0.0000
    0.1137     0.1137    -0.0000
    0.3851     0.3851    -0.0000
   -0.0932    -0.0932    -0.0000
    0.8055     0.8056     0.0001
   -0.1203    -0.1203     0.0000
    1.1052     1.1053     0.0001
    0.2974     0.2974    -0.0000
    0.1430     0.1430     0.0000
   -0.4017    -0.4017    -0.0000
    0.6100     0.6100     0.0000
    0.1252     0.1252    -0.0000
    0.2433     0.2433     0.0000
    0.2528     0.2528    -0.0000
   -0.8081    -0.8081     0.0000
    0.5710     0.5710     0.0000
   -0.0019    -0.0019     0.0000
   -0.1160    -0.1160     0.0000
    0.5539     0.5539     0.0000
   -0.1592    -0.1592    -0.0000
    0.5947     0.5947     0.0000
    0.3390     0.3390     0.0000
    0.2606     0.2606    -0.0000
    0.0500     0.0499    -0.0001
   -0.4193    -0.4193     0.0000
    0.0716     0.0716     0.0000
    0.4405     0.4405     0.0000
    0.0839     0.0839    -0.0000
    0.6153     0.6153     0.0000
    0.4516     0.4516    -0.0000
    0.8860     0.8860     0.0000
    0.4090     0.4090    -0.0000
   -0.4253    -0.4253    -0.0000
    0.5655     0.5655    -0.0000
