nuc     error      exp      theory      difference
ag     0.1500     1.4180     1.5218    -0.1038 -
ag     0.1500     1.6730     1.7466    -0.0736 
ag     0.1500     2.0200     2.0787    -0.0587 
ag     0.1500     2.0530     2.1182    -0.0652 
ag     0.1500     2.3430     2.4121    -0.0691 
cd     0.1500  -821.0730  -821.0732     0.0002 
cd     0.1500     1.3950     1.3869     0.0081 
cd     0.1500     2.0820     2.0845    -0.0025 
cd     0.1500     2.2800     2.2805    -0.0005 
cd     0.1500     2.4280     2.4350    -0.0070 
cd     0.1500     2.6270     2.6045     0.0225 
in     0.1500  -822.1550  -822.1810     0.0260 
in     0.1545     0.6710     0.7478    -0.0768 
in     1.2000     1.3000     2.1309    -0.8309 oooooooo
in     1.2000     2.4000     3.6298    -1.2298 oooooooooooo
 n     0.2830  -825.1630  -825.1607    -0.0023 
