Energy outputs   (0.073 MeV RMS for JP fit)
       exp      error        BAB         JP     BAB-JP 
 -182.5990     0.1000  -182.5744  -182.5546    -0.0198

Parameter outputs (0.759 MeV RMS for JP fit)
BAB    JP    Diff 
  -14.8643   -14.9347    -0.0704
  -14.2390   -14.1590     0.0800
  -13.3503   -13.2797     0.0706
  -10.5378   -10.5114     0.0264
   -1.5159    -0.6491     0.8668
   -1.1826    -1.1152     0.0674
   -0.8045    -0.7602     0.0443
   -1.1019     0.7582     1.8601
    0.0702     0.0890     0.0188
   -1.0718    -1.3075    -0.2357
    0.7517     0.3813    -0.3704
    0.3935     0.4918     0.0983
    0.9108     0.7854    -0.1254
   -2.4202    -1.5835     0.8367
   -0.0200    -0.0106     0.0094
   -0.6327    -1.1466    -0.5139
    0.7452     0.4612    -0.2840
   -0.1363     0.0308     0.1671
    0.3675     0.1112    -0.2563
   -0.7172    -0.4861     0.2311
   -1.5833    -1.3551     0.2282
    0.7391     0.5241    -0.2150
   -3.1045    -1.6785     1.4260
    0.7971     1.0387     0.2416
   -0.4134    -0.0816     0.3318
    1.1642     1.2703     0.1061
   -0.5335    -0.5958    -0.0623
   -0.4707    -0.4616     0.0091
   -0.0686    -0.0845    -0.0159
    1.0070     1.0899     0.0829
   -1.0869    -1.0155     0.0714
    0.5671     0.3953    -0.1718
    1.5916     1.1483    -0.4433
    0.3327     0.2783    -0.0544
   -0.8206    -0.9237    -0.1031
    0.6590     0.3964    -0.2626
    0.1487     0.2009     0.0522
    0.8393     1.0332     0.1939
   -0.6521    -0.5020     0.1501
    1.3744     1.1698    -0.2046
    0.4890     0.5512     0.0622
    1.2548     1.2958     0.0410
    0.3356     0.1757    -0.1599
    0.6161     0.7717     0.1556
   -0.3758    -0.2844     0.0914
    0.4918     0.6105     0.1187
    0.6381     0.6274    -0.0107
   -3.9443    -2.9579     0.9864
    0.2225     0.3090     0.0865
   -1.1854    -1.5099    -0.3245
   -0.0408    -0.1097    -0.0689
    0.6649     0.5005    -0.1644
    0.0269     0.1271     0.1002
    0.5638     0.5105    -0.0533
   -0.0534    -0.1170    -0.0636
    0.6463     0.6666     0.0203
    0.2372     0.3836     0.1464
    1.7361     1.4452    -0.2909
    0.6329     0.4590    -0.1739
   -0.1694    -0.3011    -0.1317
   -0.1143    -0.1072     0.0071
    0.2449     0.2532     0.0083
    0.1191     0.0993    -0.0198
    0.4237     0.2664    -0.1573
   -0.0592    -0.1005    -0.0413
    1.0765     1.0653    -0.0112
    0.3896     0.3956     0.0060
   -0.2783    -0.0656     0.2127
    0.5956     0.5881    -0.0075

e = Gp minimization
Elements of G: 
  98093815.8262   57568451.5293   18981412.3460   44414605.9987     111516.9874     382971.9912     235673.4988    1808319.5727     152528.3045     232177.6022     649298.3693    -241486.3415     273064.8503     782645.7665   -2139491.1349      -1926.3084   -1391843.7470   -1727799.9276       -548.5039      53652.5662      17512.1388      79436.7183     134928.9201   -4023418.6454       3868.2172      15134.9105      78819.0094     355360.5662    -799037.4553        898.5279      68568.1867     253581.0403     -35618.2825   -1130481.5545      58416.1464     358369.3250    -941785.7605      89645.3493     575923.6303   -3658519.4771      -3814.5995   -4467963.6186    -707917.7368     -28705.9024    1136729.2862   -6004828.5831      13231.7692      19885.5843   -4521333.2466     564163.6896   -2105547.8799      12634.3207       1484.7834   -1981114.9867       3849.5224   -1628726.5235    -363434.7993   -1730651.0582     -17090.0955      41920.1605    -944826.2631      96038.2129    -381881.7744   -3673933.5745      82472.8741   -4809480.0950   -1098052.9434    1269935.4231   -2235384.0493
  57568451.5293   34833540.0923   11607938.6087   27419796.1742      65451.7714     201494.3434     126718.3633    1036386.7866      93447.3191     131878.3128     383382.8237    -149339.6005     160148.0394     480788.5515   -1302737.4017      -1009.5597    -864264.5101   -1026954.2084       -178.8664      28559.9662       8721.3650      37891.9093      76871.2454   -2452441.6501       2377.0366       8339.7945      41541.3606     209882.3409    -491425.3701        620.2068      39696.8316     153025.6663     -22073.9243    -697384.6437      32115.9641     215419.8573    -584163.6671      53541.5232     360174.1092   -2231099.1315      -2710.3041   -2753175.9640    -438455.1416     -16907.5506     708261.5025   -3572584.2354       5284.5212      10570.5193   -2752506.3979     332300.0602   -1304752.8247       7297.6148        887.4147   -1236605.8490       2290.5452   -1018947.5815    -227985.9340   -1071474.6094     -10156.3301      25052.8200    -588284.1326      56908.0741    -238905.9054   -2276434.5887      47289.4826   -3006345.2348    -689579.1402     786909.5229   -1402956.5882
  18981412.3460   11607938.6087    4407483.6181   10228879.7632      21631.2774      56848.4851      33118.4116     316478.8689      31777.0739      33951.2269     118573.4131     -62181.3958      58668.1761     175482.5055    -445536.3231       -194.7826    -334875.3221    -347192.0737         13.9772       7576.6302       2333.2555       9642.0662      22610.5777    -839014.7835        707.2103       2255.5094       9943.4843      62851.5215    -188976.7050        261.0470      11612.1768      53615.6595      -8339.4248    -240052.8387       8065.7086      64856.7605    -225589.8834      18195.4086     143663.2730    -764221.8575       -484.7549   -1066808.6871    -165798.2014      -5207.9116     268818.0211   -1208575.2725       1355.6351       2856.2950    -938146.9559      96585.4384    -494541.5354       2052.8988        135.0657    -469583.3495        545.4229    -423644.1096     -92182.0400    -404844.1888      -3218.1871       4570.0364    -222282.3436      13612.9779     -97405.0945    -861711.9814      13977.7645   -1146553.3637    -279676.2675     297360.7812    -561989.7390
