Energy outputs   (0.0703 MeV RMS for JP fit) 
       exp      error        BAB         JP       Diff 
    2.0990     0.1000  -170.3167     2.1132  -172.4299
    2.4240     0.1000  -170.0363     2.3935  -172.4298
    2.5310     0.1000  -169.9100     2.5199  -172.4299
    2.6490     0.1000  -169.7944     2.6356  -172.4300
    3.1840     0.1000  -169.2309     3.1989  -172.4298
    3.7840     0.1000  -168.6151     3.8147  -172.4298
 -174.4880     0.1000  -174.5155  -174.5154    -0.0001
    0.7160     0.1000  -173.8546     0.6607  -174.5153
    1.2900     0.1000  -173.2539     1.2614  -174.5153
    1.4180     0.1000  -173.0057     1.5098  -174.5155
    1.6730     0.1000  -172.7970     1.7184  -174.5154
    2.0200     0.1000  -172.4687     2.0466  -174.5153
    2.0530     0.1000  -172.3966     2.1188  -174.5154
    2.3430     0.1000  -172.1083     2.4072  -174.5155
 -178.5090     0.1000  -178.5409  -178.5409    -0.0000
    1.3950     0.1000  -177.2517     1.2891  -178.5408
    2.0820     0.1000  -176.4201     2.1208  -178.5409
    2.2800     0.1000  -176.3025     2.2383  -178.5408
    2.4280     0.1000  -176.0964     2.4445  -178.5409
    2.6270     0.1000  -175.9151     2.6258  -178.5409
 -179.5910     0.1000  -179.6332  -179.6333     0.0001
    0.6710     0.1000  -178.8905     0.7426  -179.6331
    1.9710     0.1000  -177.6293     2.0040  -179.6333
    2.0710     0.1000  -177.5129     2.1204  -179.6333
 -182.5990     0.1000  -182.5744  -182.5744     0.0000
Parameter outputs (0.616 MeV RMS for JP fit) 
       BAB         JP       Diff 
  -14.8643   -14.8642     0.0001
  -14.2390   -14.2388     0.0002
  -13.3503   -13.3503    -0.0000
  -10.5378   -10.5378     0.0000
   -1.5159    -1.5191    -0.0032
   -1.1826    -1.1831    -0.0005
   -0.8045    -0.8034     0.0011
   -1.1019    -1.1080    -0.0061
    0.0702     0.0713     0.0011
   -1.0718    -1.0727    -0.0009
    0.7517     0.7523     0.0006
    0.3935     0.3943     0.0008
    0.9108     0.9124     0.0016
   -2.4202    -2.4229    -0.0027
   -0.0200    -0.0202    -0.0002
   -0.6327    -0.6284     0.0043
    0.7452     0.7458     0.0006
   -0.1363    -0.1375    -0.0012
    0.3675     0.3685     0.0010
   -0.7172    -0.7178    -0.0006
   -1.5833    -1.5848    -0.0015
    0.7391     0.7404     0.0013
   -3.1045    -3.1119    -0.0074
    0.7971     0.7962    -0.0009
   -0.4134    -0.4148    -0.0014
    1.1642     1.1635    -0.0007
   -0.5335    -0.5324     0.0011
   -0.4707    -0.4711    -0.0004
   -0.0686    -0.0683     0.0003
    1.0070     1.0068    -0.0002
   -1.0869    -1.0871    -0.0002
    0.5671     0.5688     0.0017
    1.5916     1.5941     0.0025
    0.3327     0.3319    -0.0008
   -0.8206    -0.8201     0.0005
    0.6590     0.6584    -0.0006
    0.1487     0.1483    -0.0004
    0.8393     0.8401     0.0008
   -0.6521    -0.6528    -0.0007
    1.3744     1.3763     0.0019
    0.4890     0.4898     0.0008
    1.2548     1.2547    -0.0001
    0.3356     0.3394     0.0038
    0.6161     0.6169     0.0008
   -0.3758    -0.3768    -0.0010
    0.4918     0.4918     0.0000
    0.6381     0.6381     0.0000
   -3.9443    -3.9442     0.0001
    0.2225     0.2215    -0.0010
   -1.1854    -1.1846     0.0008
   -0.0408    -0.0432    -0.0024
    0.6649     0.6658     0.0009
    0.0269     0.0270     0.0001
    0.5638     0.5645     0.0007
   -0.0534    -0.0541    -0.0007
    0.6463     0.6460    -0.0003
    0.2372     0.2369    -0.0003
