Energy outputs   (0.189 MeV RMS for JP fit) 
       exp      error        BAB         JP       Diff 
 -164.3000     0.1000  -164.2323  -164.2728     0.0405
 -162.8690     0.1000  -162.7701  -162.8227     0.0526
 -162.1130     0.1000  -162.0518  -162.0946     0.0428
 -161.8020     0.1000  -161.7524  -161.7968     0.0444
 -161.7970     0.1000  -161.7629  -161.7555    -0.0074
 -161.6760     0.1000  -161.6498  -161.7045     0.0547
 -161.6560     0.1000  -161.6644  -161.6804     0.0160
 -161.3050     0.1000  -161.1674  -161.3742     0.2068
 -160.6420     0.1000  -160.6235  -160.6476     0.0241
 -167.3460     0.1000  -167.3190  -167.3770     0.0580
 -166.8030     0.1000  -166.6833  -166.7424     0.0591
 -166.6660     0.1000  -166.6243  -166.6656     0.0413
 -166.1660     0.1000  -166.1025  -166.1888     0.0863
 -165.9950     0.1000  -165.9209  -165.9762     0.0553
 -165.9160     0.1000  -165.8564  -165.9064     0.0500
 -165.2780     0.1000  -165.1870  -165.2541     0.0671
 -165.1100     0.1000  -165.1023  -165.1535     0.0512
 -164.8960     0.1000  -164.8467  -164.8837     0.0370
 -164.1030     0.1000  -164.0550  -164.0721     0.0171
 -163.6220     0.1000  -163.4547  -163.5369     0.0822
 -163.4370     0.1000  -163.3923  -163.4180     0.0257
 -172.4780     0.1000  -172.4001  -172.4816     0.0815
 -171.0630     0.1000  -170.9948  -171.0850     0.0902
 -170.3790     0.1000  -170.2843  -170.3771     0.0928
 -170.0540     0.1000  -170.0278  -170.0794     0.0516
 -169.9470     0.1000  -169.9119  -169.9695     0.0576
 -169.8290     0.1000  -169.7537  -169.8244     0.0707
 -169.2940     0.1000  -169.2203  -169.2705     0.0502
 -168.6940     0.1000  -168.5800  -168.6387     0.0587
 -174.4880     0.1000  -174.4919  -174.5495     0.0576
 -173.7720     0.1000  -173.7945  -173.8561     0.0616
 -173.1980     0.1000  -173.1741  -173.2437     0.0696
 -173.0700     0.1000  -172.9810  -173.0299     0.0489
 -172.8150     0.1000  -172.7603  -172.8167     0.0564
 -172.4680     0.1000  -172.4230  -172.4890     0.0660
 -172.4350     0.1000  -172.3804  -172.4330     0.0526
 -172.1450     0.1000  -172.0903  -172.1302     0.0399
 -178.5090     0.1000  -178.5086  -178.5363     0.0277
 -177.1140     0.1000  -177.1354  -177.2031     0.0677
 -176.4270     0.1000  -176.4406  -176.4151    -0.0255
 -176.2290     0.1000  -176.2443  -176.2837     0.0394
 -176.0810     0.1000  -176.0878  -176.0883     0.0005
 -175.8820     0.1000  -175.8181  -175.8043    -0.0138
 -179.5910     0.1000  -179.6294  -179.5698    -0.0596
 -178.5910     1.2042  -178.6770  -178.5890    -0.0880
 -177.2910    -0.0500  -177.3818  -177.2897    -0.0921
 -176.1910    -0.0500  -176.2632  -176.1865    -0.0767
 -182.5990     0.2600  -182.6056  -182.4378    -0.1678
Parameter outputs (0.616 MeV RMS for JP fit) 
BAB    JP    Diff 
  -14.8441   -14.9455    -0.1014
  -14.1266   -14.1375    -0.0109
  -13.3292   -13.2805     0.0487
   -9.6414    -9.7613    -0.1199
   -0.2067    -0.1950     0.0117
   -0.8678    -1.1511    -0.2833
   -0.7318    -0.7266     0.0052
    2.4351     1.8591    -0.5760
    0.1145     0.1812     0.0667
   -1.0376    -1.5212    -0.4836
    1.0034     0.2283    -0.7751
    0.5429     0.5142    -0.0287
    0.7589     0.6635    -0.0954
   -0.5492    -1.2637    -0.7145
    0.8296     0.0625    -0.7671
    0.1021    -0.7766    -0.8787
    0.6828     0.4414    -0.2414
    0.4007     0.2083    -0.1924
   -0.2650    -0.0203     0.2447
   -0.3456    -0.3991    -0.0535
   -0.2631    -1.1792    -0.9161
   -0.4604     0.4583     0.9187
    0.5412    -0.2703    -0.8115
    1.0486     1.0211    -0.0275
    0.2069    -0.0771    -0.2840
    0.2535     1.1151     0.8616
    0.5297    -0.3718    -0.9015
   -0.6338    -0.4747     0.1591
    0.2174    -0.0871    -0.3045
    0.0948     1.0544     0.9596
   -0.4860    -1.0134    -0.5274
    0.6922     0.2255    -0.4667
    0.0519     0.7542     0.7023
    0.2641     0.2215    -0.0426
   -0.6149    -0.9642    -0.3493
    0.6450     0.4311    -0.2139
    0.1137     0.1480     0.0343
    0.3851     0.8899     0.5048
   -0.0932    -0.3747    -0.2815
    0.8055     1.2346     0.4291
   -0.1203     0.5825     0.7028
    1.1052     1.3103     0.2051
    0.2974    -0.1559    -0.4533
    0.1430     0.6651     0.5221
   -0.4017    -0.3301     0.0716
    0.6100     0.6123     0.0023
    0.1252     0.5542     0.4290
    0.2433    -2.6440    -2.8873
    0.2528     0.2964     0.0436
   -0.8081    -1.5668    -0.7587
    0.5710     0.1682    -0.4028
   -0.0019     0.3881     0.3900
   -0.1160     0.2665     0.3825
    0.5539     0.4515    -0.1024
   -0.1592    -0.0870     0.0722
    0.5947     0.6839     0.0892
    0.3390     0.4236     0.0846
    0.2606     1.2559     0.9953
    0.0500     0.5397     0.4897
   -0.4193    -0.3281     0.0912
    0.0716    -0.1502    -0.2218
    0.4405     0.3513    -0.0892
    0.0839     0.0800    -0.0039
    0.6153     0.5526    -0.0627
    0.4516    -0.1224    -0.5740
    0.8860     1.1240     0.2380
    0.4090     0.4180     0.0090
   -0.4253    -0.7387    -0.3134
    0.5655     0.6134     0.0479

Elements of G: 
